authors;publication_year;exp_route;animal_id;dose;ves_cyst;deg_cyst;total_cyst;brain_cyst
Gonzales-Gustavson E.;2011;beetles;4101;6;4;0;4;0
Gonzales-Gustavson E.;2011;beetles;4102;6;3;0;3;0
Gonzales-Gustavson E.;2011;beetles;4103;6;2;0;2;0
Gonzales-Gustavson E.;2011;beetles;4104;6;13;4;17;0
Gonzales-Gustavson E.;2011;beetles;4105;6;1;0;1;0
Gonzales-Gustavson E.;2011;beetles;4106;6;7;0;7;0
Gonzales-Gustavson E.;2011;beetles;4107;6;0;8;8;0
Gonzales-Gustavson E.;2011;beetles;4108;6;0;0;0;0
Gonzales-Gustavson E.;2011;beetles;4109;6;1;0;1;0
Gonzales-Gustavson E.;2011;beetles;4111;6;9;0;9;0
Gonzales-Gustavson E.;2011;beetles;7112;6;0;0;0;0
Gonzales-Gustavson E.;2011;beetles;7113;6;2;0;2;0
Gonzales-Gustavson E.;2011;beetles;7117;6;11;0;11;0
Gonzales-Gustavson E.;2011;beetles;7118;6;21;1;22;0
Gonzales-Gustavson E.;2011;beetles;7124;6;5;1;6;0
Gonzales-Gustavson E.;2011;beetles;7125;6;37;0;37;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;9103;1;1;0;1;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;9104;1;0;0;0;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;8997;1;2;12;14;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;9107;1;0;2;2;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;9102;1;1;0;1;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;9106;1;69;2;71;3
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;8948;3;5;0;5;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;8946;3;27;2;29;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;8947;3;21;3;24;0
"Gomez-Puerta LA, Garcia HH, Gonzalez AE; Cysticercosis Working Group in Peru.";2018;beetles;8938;3;24;3;27;0
